materials-id,composition,target
0,Cs2AgAlF6,TRUE
1,Cs2AgBiBr6,TRUE
2,Cs2AgBiCl6,TRUE
3,Cs2AgBiF6,TRUE
4,Cs2AgGaF6,TRUE
5,Cs2AgInCl6,TRUE
6,Cs2AgInF6,TRUE
7,Cs2AgSbCl6,TRUE
8,Cs2AgScCl6,TRUE
9,Cs2AgScF6,TRUE
10,Cs2AgYCl6,TRUE
11,Cs2AgYF6,TRUE
12,Cs2CsAlF6,TRUE
13,Cs2CsBiF6,TRUE
14,Cs2CsGaF6,TRUE
15,Cs2CsInF6,TRUE
16,Cs2CsYF6,TRUE
17,Cs2KAlF6,TRUE
18,Cs2KBiBr6,TRUE
19,Cs2KBiCl6,TRUE
20,Cs2KBiF6,TRUE
21,Cs2KGaF6,TRUE
22,Cs2KInCl6,TRUE
23,Cs2KInF6,TRUE
24,Cs2KScCl6,TRUE
25,Cs2KScF6,TRUE
26,Cs2KYBr6,TRUE
27,Cs2KYCl6,TRUE
28,Cs2KYF6,TRUE
29,Cs2LiBiBr6,TRUE
30,Cs2LiBiCl6,TRUE
31,Cs2LiBiF6,TRUE
32,Cs2LiInF6,TRUE
33,Cs2LiYBr6,TRUE
34,Cs2LiYCl6,TRUE
35,Cs2LiYF6,TRUE
36,Cs2NaBiBr6,TRUE
37,Cs2NaBiCl6,TRUE
38,Cs2NaBiF6,TRUE
39,Cs2NaInCl6,TRUE
40,Cs2NaInF6,TRUE
41,Cs2NaScBr6,TRUE
42,Cs2NaScCl6,TRUE
43,Cs2NaScF6,TRUE
44,Cs2NaYBr6,TRUE
45,Cs2NaYCl6,TRUE
46,Cs2NaYF6,TRUE
47,Cs2RbAlF6,TRUE
48,Cs2RbBiF6,TRUE
49,Cs2RbGaF6,TRUE
50,Cs2RbInF6,TRUE
51,Cs2RbScF6,TRUE
52,Cs2RbYF6,TRUE
53,K2AgAlF6,TRUE
54,K2AgBiCl6,TRUE
55,K2AgGaF6,TRUE
56,K2KGaF6,TRUE
57,K2KScF6,TRUE
58,K2LiBiCl6,TRUE
59,K2LiGaF6,TRUE
60,K2LiInF6,TRUE
61,K2LiScCl6,TRUE
62,K2LiScF6,TRUE
63,K2NaAlF6,TRUE
64,K2NaBiCl6,TRUE
65,K2NaGaF6,TRUE
66,K2NaInF6,TRUE
67,K2NaScCl6,TRUE
68,K2NaScF6,TRUE
69,Rb2AgAlF6,TRUE
70,Rb2AgBiCl6,TRUE
71,Rb2AgGaF6,TRUE
72,Rb2AgInCl6,TRUE
73,Rb2AgInF6,TRUE
74,Rb2AgSbCl6,TRUE
75,Rb2AgScCl6,TRUE
76,Rb2AgScF6,TRUE
77,Rb2AgYF6,TRUE
78,Rb2CsAlF6,TRUE
79,Rb2CsGaF6,TRUE
80,Rb2CsInF6,TRUE
81,Rb2KAlF6,TRUE
82,Rb2KBiF6,TRUE
83,Rb2KScCl6,TRUE
84,Rb2LiAlF6,TRUE
85,Rb2LiBiCl6,TRUE
86,Rb2LiInCl6,TRUE
87,Rb2LiInF6,TRUE
88,Rb2LiSbCl6,TRUE
89,Rb2LiScCl6,TRUE
90,Rb2LiScF6,TRUE
91,Rb2LiScI6,TRUE
92,Rb2LiYBr6,TRUE
93,Rb2LiYF6,TRUE
94,Rb2NaAlF6,TRUE
95,Rb2NaBiCl6,TRUE
96,Rb2NaBiF6,TRUE
97,Rb2NaGaF6,TRUE
98,Rb2NaInCl6,TRUE
99,Rb2NaInF6,TRUE
100,Rb2NaSbCl6,TRUE
101,Rb2NaSbF6,TRUE
102,Rb2NaScCl6,TRUE
103,Rb2NaScF6,TRUE
104,Rb2NaScI6,TRUE
105,Rb2NaYBr6,TRUE
106,Rb2NaYCl6,TRUE
107,Rb2NaYF6,TRUE
108,Rb2RbAlF6,TRUE
109,Rb2RbGaF6,TRUE
110,Rb2RbInF6,TRUE
111,Rb2RbYF6,TRUE
112,Cs2NaSbF6,FALSE
113,Cs2NaSbCl6,FALSE
114,Cs2NaSbBr6,FALSE
115,Cs2NaSbI6,FALSE
116,Cs2NaBiI6,FALSE
117,Cs2KSbF6,FALSE
118,Cs2KSbCl6,FALSE
119,Cs2KSbBr6,FALSE
120,Cs2RbSbF6,FALSE
121,Cs2RbSbCl6,FALSE
122,Cs2RbSbBr6,FALSE
123,Cs2RbBiCl6,FALSE
124,Cs2RbBiBr6,FALSE
125,Cs2CuSbF6,FALSE
126,Cs2CuSbCl6,FALSE
127,Cs2CuSbBr6,FALSE
128,Cs2CuBiF6,FALSE
129,Cs2CuBiCl6,FALSE
130,Cs2CuBiBr6,FALSE
131,Cs2AgSbF6,FALSE
132,Cs2AgSbBr6,FALSE
133,Cs2AgSbI6,FALSE
134,Cs2AgBiI6,FALSE
135,Cs2AgInBr6,FALSE
136,Rb2AgInBr6,FALSE
137,Rb2CuInCl6,FALSE
138,Rb2CuInBr6,FALSE
139,Rb2KGaF6,FALSE
140,K2AgScF6,FALSE
141,Cs2NaSbCl6,FALSE
142,K2LiAlF6,FALSE
143,Cs2NaYI6,FALSE
144,Rb2LiSbF6,FALSE
145,Cs2RbInCl6,FALSE
146,Rb2LiInBr6,FALSE
147,Cs2RbBiCl6,FALSE
148,Cs2RbScCl6,FALSE
149,K2AgScCl6,FALSE
150,Cs2NaInBr6,FALSE
151,Rb2LiYCl6,FALSE
152,Cs2AgYBr6,FALSE
153,Cs2RbYCl6,FALSE
154,Rb2RbSbF6,FALSE
155,Rb2NaScBr6,FALSE
156,Cs2AgSbBr6,FALSE
157,Rb2KSbCl6,FALSE
158,Rb2AgYCl6,FALSE
159,Rb2KYBr6,FALSE
160,Cs2NaGaF6,FALSE
161,Rb2AgBiBr6,FALSE
162,Cs2NaBiI6,FALSE
163,Cs2KScBr6,FALSE
164,Cs2LiYI6,FALSE
165,Rb2KSbF6,FALSE
166,Cs2AgInBr6,FALSE
167,Cs2RbBiBr6,FALSE
168,Cs2NaScI6,FALSE
