materials-id,composition,target
0,Ba1 Sr1 Sn2 O6,TRUE
1,Ba1 Sr1 Zr2 O6,TRUE
2,Ca2 Zr1 Mn1 O6,TRUE
3,Sr2 Hf1 Ni1 O6,TRUE
4,Rb1 Ba1 Zr1 Ta1 O6,TRUE
5,Rb1 Ba1 Hf1 Nb1 O6,TRUE
6,K1 Ba1 Hf1 Nb1 O6,TRUE
7,Ba1 Pr1 Hf1 Co1 O6,TRUE
8,Sr1 Pr1 Hf1 Co1 O6,TRUE
9,Ba1 Na1 Hf1 Nb1 O6,TRUE
10,Ba1 Sr1 Y1 Nb1 O6,TRUE
11,Na1 Sr1 Hf1 Sb1 O6,TRUE
12,Ba2 La1 Nb1 O6,TRUE
13,Pm1 Mn1 O3,TRUE
14,Fe1 Bi1 O3,FALSE
15,Tl1 Co1 O3,TRUE
16,Dy1 Ir1 O3,FALSE
17,Nd1 Tl1 O3,FALSE
18,Ce1 Co1 O3,TRUE
19,As1 Au1 O3,FALSE
20,La1 Eu1 O3,FALSE
21,Tm1 Ru1 O3,FALSE
22,Pr1 Ag1 O3,FALSE
23,Nb1 Au1 O3,FALSE
24,Er1 Mo1 O3,TRUE
25,Lu1 Sb1 O3,FALSE
26,Dy1 Os1 O3,FALSE
27,Cd1 Ru1 O3,FALSE
28,Ce1 Ru1 O3,FALSE
29,Ce1 Cd1 O3,FALSE
30,Cr1 Ru1 O3,FALSE
31,Dy1 Pd1 O3,FALSE
32,Tb1 Nb1 O3,FALSE
33,Nd1 Eu1 O3,FALSE
34,Mn1 Ru1 O3,TRUE
35,Pr1 Mo1 O3,TRUE
36,Y1 Nb1 O3,FALSE
37,Tb1 Tm1 O3,FALSE
38,Ce1 Tm1 O3,FALSE
39,Dy1 Lu1 O3,FALSE
40,Tl1 Ru1 O3,FALSE
41,Tl1 Ga1 O3,FALSE
42,Nd1 Pb1 O3,FALSE
43,Ce1 Sc1 O3,FALSE
44,Y1 As1 O3,FALSE
45,Tm1 Co1 O3,TRUE
46,Tb1 As1 O3,FALSE
47,Eu1 Ta1 O3,FALSE
48,Sm1 Te1 O3,FALSE
49,Fe1 Re1 O3,FALSE
50,Ta1 Hg1 O3,FALSE
51,Cd1 Pt1 O3,FALSE
52,Fe1 Ir1 O3,FALSE
53,Sm1 Ta1 O3,FALSE
54,Sm1 Au1 O3,FALSE
55,Tm1 Pt1 O3,FALSE
56,Eu1 Te1 O3,FALSE
57,Sm1 Ho1 O3,FALSE
58,Cr1 Au1 O3,TRUE
59,La1 Sb1 O3,FALSE
60,Nd1 Sm1 O3,FALSE
61,Fe1 Os1 O3,FALSE
62,Nd1 Er1 O3,FALSE
63,Tb1 Y1 O3,FALSE
64,Ho1 Pd1 O3,FALSE
65,Zr1 Ag1 O3,FALSE
66,Sm1 Tm1 O3,FALSE
67,Fe1 Pd1 O3,FALSE
68,Tb1 Nd1 O3,FALSE
69,Tb1 Pm1 O3,FALSE
70,Sr1 Os1 O3,FALSE
71,Ca1 Fe1 O3,TRUE
72,Pm1 Y1 O3,FALSE
73,Nd1 Hf1 O3,FALSE
74,Tl1 Pt1 O3,FALSE
